module,extrinsic,tx_fee_with_decimal,tx_fee_without_decimal,fee_multiplier
frame_system,remark-length=32,5298832146460000,0.00529883214646,0.0002
frame_system,remark-length=64,5298832146460000,0.00529883214646,0.0002
frame_system,set_heap_pages,5051034450000000,0.00505103445,0.0002
frame_system,set_code,10298700000000000,0.0102987,0.0002
frame_system,set_code_without_checks,10298700000000000,0.0102987,0.0002
frame_system,set_storage,5639746997510000,0.00563974699751,0.0002
frame_system,kill_storage,5640750464760000,0.00564075046476,0.0002
frame_system,kill_prefix,5347861573090000,0.00534786157309,0.0002
frame_system,remark_with_event-length=32,5298835865040000,0.00529883586504,0.0002
frame_system,remark_with_event-length=64,5298835865040000,0.00529883586504,0.0002
pallet_treasury,propose_spend,5311280870000000,0.00531128087,0.0002
pallet_treasury,reject_proposal,4981742030000000,0.00498174203,0.0002
pallet_treasury,approve_proposal,4980459314970000,0.00498045931497,0.0002
pallet_treasury,spend,5308701710000000,0.00530870171,0.0002
pallet_treasury,remove_approval,4980055430000000,0.00498005543,0.0002
pallet_timestamp,set,4980037830000000,0.00498003783,0.0002
pallet_preimage,note_preimage-length=32,5301290792080000,0.00530129079208,0.0002
pallet_preimage,note_preimage-length=32,5631291734160000,0.00563129173416,0.0002
pallet_preimage,unnote_preimage,5291369270000000,0.00529136927,0.0002
pallet_preimage,request_preimage,5290231710000000,0.00529023171,0.0002
pallet_preimage,unrequest_preimage,5291230180000000,0.00529123018,0.0002
pallet_multisig,as_multi_threshold_1,5642675964490000,0.00564267596449,0.0002
pallet_multisig,as_multi,5691632704520000,0.00569163270452,0.0002
pallet_multisig,approve_as_multi,5670593606370000,0.00567059360637,0.0002
pallet_multisig,cancel_as_multi,5720336406670000,0.00572033640667,0.0002
pallet_membership,add_member,5299200000000000,0.0052992,0.0002
pallet_membership,remove_member,5299200000000000,0.0052992,0.0002
pallet_membership,swap_member,5629200000000000,0.0056292,0.0002
pallet_membership,reset_members,5619200000000000,0.0056192,0.0002
pallet_membership,change_key,5299200000000000,0.0052992,0.0002
pallet_membership,set_prime,5299200000000000,0.0052992,0.0002
pallet_membership,clear_prime,4969200000000000,0.0049692,0.0002
pallet_democracy,propose,5032996150000000,0.00503299615,0.0002
pallet_democracy,second,4980427850000000,0.00498042785,0.0002
pallet_democracy,vote,5163099650000000,0.00516309965,0.0002
pallet_democracy,emergency_cancel,5011449160000000,0.00501144916,0.0002
pallet_democracy,external_propose,5020391910000000,0.00502039191,0.0002
pallet_democracy,external_propose_majority,5019756600000000,0.0050197566,0.0002
pallet_democracy,external_propose_default,5019752930000000,0.00501975293,0.0002
pallet_democracy,fast_track,5372439790000000,0.00537243979,0.0002
pallet_democracy,veto_external,5291524150000000,0.00529152415,0.0002
pallet_democracy,cancel_referendum,4979854120000000,0.00497985412,0.0002
pallet_democracy,delegate,5603100511750000,0.00560310051175,0.0002
pallet_democracy,undelegate,5100368590710000,0.00510036859071,0.0002
pallet_democracy,clear_public_proposals,4969756880000000,0.00496975688,0.0002
pallet_democracy,unlock,5302928523210000,0.00530292852321,0.0002
pallet_democracy,remove_vote,5011552070440000,0.00501155207044,0.0002
pallet_democracy,remove_other_vote,5341551218650000,0.00534155121865,0.0002
pallet_democracy,blacklist,5346860120000000,0.00534686012,0.0002
pallet_democracy,cancel_proposal,4983213060000000,0.00498321306,0.0002
pallet_collective,set_members,6125485107120000,0.00612548510712,0.0002
pallet_collective,execute,5013732935810000,0.00501373293581,0.0002
pallet_collective,propose,5024232816700000,0.0050242328167,0.0002
pallet_collective,vote,5310619517400000,0.0053106195174,0.0002
pallet_collective,close,5333667460860000,0.00533366746086,0.0002
pallet_collective,disapprove_proposal,5292365846660000,0.00529236584666,0.0002
cumulus_pallet_xcmp_queue,service_overweight,5128710000640000,0.00512871000064,0.0002
cumulus_pallet_xcmp_queue,suspend_xcm_execution,4969700000000000,0.0049697,0.0002
cumulus_pallet_xcmp_queue,resume_xcm_execution,4969700000000000,0.0049697,0.0002
cumulus_pallet_xcmp_queue,update_suspend_threshold,5010025090000000,0.00501002509,0.0002
cumulus_pallet_xcmp_queue,update_drop_threshold,5010025090000000,0.00501002509,0.0002
cumulus_pallet_xcmp_queue,update_resume_threshold,5010025090000000,0.00501002509,0.0002
cumulus_pallet_xcmp_queue,update_threshold_weight,5050121450000000,0.00505012145,0.0002
cumulus_pallet_xcmp_queue,update_weight_restrict_decay,5050121450000000,0.00505012145,0.0002
cumulus_pallet_xcmp_queue,update_xcmp_max_individual_weight,5050121450000000,0.00505012145,0.0002
orml_xtokens,transfer,5338700000000000,0.0053387,0.0002
orml_xtokens,transfer_multiasset,5148700000000000,0.0051487,0.0002
orml_xtokens,transfer_with_fee,5498700000000000,0.0054987,0.0002
orml_xtokens,transfer_multiasset_with_fee,5288700000000000,0.0052887,0.0002
orml_xtokens,transfer_multicurrencies,5718700000000000,0.0057187,0.0002
orml_xtokens,transfer_multiassets,5198700000000000,0.0051987,0.0002
manta_collator_selection,set_invulnerables,5299845518220000,0.00529984551822,0.0002
manta_collator_selection,set_desired_candidates,5009860390000000,0.00500986039,0.0002
manta_collator_selection,set_candidacy_bond,5129841580000000,0.00512984158,0.0002
manta_collator_selection,register_as_candidate,4971566536980000,0.00497156653698,0.0002
manta_collator_selection,register_candidate,5291582199940000,0.00529158219994,0.0002
manta_collator_selection,leave_intent,4970396739710000,0.00497039673971,0.0002
manta_collator_selection,remove_collator,5290671925700000,0.0052906719257,0.0002
manta_collator_selection,set_eviction_baseline,4979835900000000,0.0049798359,0.0002
manta_collator_selection,set_eviction_tolerance,4979973540000000,0.00497997354,0.0002
pallet_asset_manager,register_asset,5316307190000000,0.00531630719,0.0002
pallet_asset_manager,update_asset_location,5015632340000000,0.00501563234,0.0002
pallet_asset_manager,update_asset_metadata,5442350760000000,0.00544235076,0.0002
pallet_asset_manager,set_units_per_second,4990541800000000,0.0049905418,0.0002
pallet_asset_manager,mint_asset,5462457200000000,0.0054624572,0.0002
pallet_asset_manager,set_min_xcm_fee,5010191960000000,0.00501019196,0.0002
pallet_asset_manager,update_outgoing_filtered_assets,5010187800000000,0.0050101878,0.0002
pallet_asset_manager,register_lp_asset,5606858690000000,0.00560685869,0.0002
pallet_asset_manager,permissionless_register_asset,5166885130000000,0.00516688513,0.0002
pallet_assets,create,5620165880000000,0.00562016588,0.0002
pallet_assets,force_create,5480154500000000,0.0054801545,0.0002
pallet_assets,start_destroy,5130171810000000,0.00513017181,0.0002
pallet_assets,destroy_accounts,7791438620000000,0.00779143862,0.0002
pallet_assets,destroy_approvals,6460804100000000,0.0064608041,0.0002
pallet_assets,finish_destroy,5130649260000000,0.00513064926,0.0002
pallet_assets,mint,5471553610000000,0.00547155361,0.0002
pallet_assets,burn,5471676020000000,0.00547167602,0.0002
pallet_assets,transfer,5474260460000000,0.00547426046,0.0002
pallet_assets,transfer_keep_alive,5474217320000000,0.00547421732,0.0002
