module,extrinsic,tx_fee_with_decimal,tx_fee_without_decimal,fee_multiplier
frame_system,remark-length=32,5298833507750000,0.00529883350775,0.0002
frame_system,remark-length=64,5298833507750000,0.00529883350775,0.0002
frame_system,set_heap_pages,5051037520000000,0.00505103752,0.0002
frame_system,set_code,10298700000000000,0.0102987,0.0002
frame_system,set_code_without_checks,10298700000000000,0.0102987,0.0002
frame_system,set_storage,5639825541890000,0.00563982554189,0.0002
frame_system,kill_storage,5640831005240000,0.00564083100524,0.0002
frame_system,kill_prefix,5347858490180000,0.00534785849018,0.0002
frame_system,remark_with_event-length=32,5298840436000000,0.005298840436,0.0002
frame_system,remark_with_event-length=64,5298840436000000,0.005298840436,0.0002
pallet_treasury,propose_spend,5311270990000000,0.00531127099,0.0002
pallet_treasury,reject_proposal,4981697580000000,0.00498169758,0.0002
pallet_treasury,approve_proposal,4980449769040000,0.00498044976904,0.0002
pallet_treasury,spend,5308701920000000,0.00530870192,0.0002
pallet_treasury,remove_approval,4980053250000000,0.00498005325,0.0002
pallet_timestamp,set,4980035530000000,0.00498003553,0.0002
pallet_preimage,note_preimage-length=32,5301275660480000,0.00530127566048,0.0002
pallet_preimage,note_preimage-length=32,5631276560960000,0.00563127656096,0.0002
pallet_preimage,unnote_preimage,5291376730000000,0.00529137673,0.0002
pallet_preimage,request_preimage,5290236160000000,0.00529023616,0.0002
pallet_preimage,unrequest_preimage,5291234760000000,0.00529123476,0.0002
pallet_multisig,as_multi_threshold_1,5642676838330000,0.00564267683833,0.0002
pallet_multisig,as_multi,5691634551690000,0.00569163455169,0.0002
pallet_multisig,approve_as_multi,5670582598580000,0.00567058259858,0.0002
pallet_multisig,cancel_as_multi,5720323748250000,0.00572032374825,0.0002
pallet_membership,add_member,5299200000000000,0.0052992,0.0002
pallet_membership,remove_member,5299200000000000,0.0052992,0.0002
pallet_membership,swap_member,5629200000000000,0.0056292,0.0002
pallet_membership,reset_members,5619200000000000,0.0056192,0.0002
pallet_membership,change_key,5299200000000000,0.0052992,0.0002
pallet_membership,set_prime,5299200000000000,0.0052992,0.0002
pallet_membership,clear_prime,4969200000000000,0.0049692,0.0002
pallet_democracy,propose,5032986290000000,0.00503298629,0.0002
pallet_democracy,second,4980416700000000,0.0049804167,0.0002
pallet_democracy,vote,5163078990000000,0.00516307899,0.0002
pallet_democracy,emergency_cancel,5011432370000000,0.00501143237,0.0002
pallet_democracy,external_propose,5020381270000000,0.00502038127,0.0002
pallet_democracy,external_propose_majority,5019755360000000,0.00501975536,0.0002
pallet_democracy,external_propose_default,5019752070000000,0.00501975207,0.0002
pallet_democracy,fast_track,5372437630000000,0.00537243763,0.0002
pallet_democracy,veto_external,5291514240000000,0.00529151424,0.0002
pallet_democracy,cancel_referendum,4979856760000000,0.00497985676,0.0002
pallet_democracy,delegate,5602806337540000,0.00560280633754,0.0002
pallet_democracy,undelegate,5100089862970000,0.00510008986297,0.0002
pallet_democracy,clear_public_proposals,4969755610000000,0.00496975561,0.0002
pallet_democracy,unlock,5302925470790000,0.00530292547079,0.0002
pallet_democracy,remove_vote,5011522294270000,0.00501152229427,0.0002
pallet_democracy,remove_other_vote,5341526954290000,0.00534152695429,0.0002
pallet_democracy,blacklist,5346822690000000,0.00534682269,0.0002
pallet_democracy,cancel_proposal,4983187330000000,0.00498318733,0.0002
pallet_collective,set_members,6125196342700000,0.0061251963427,0.0002
pallet_collective,execute,5013745907950000,0.00501374590795,0.0002
pallet_collective,propose,5024208290050000,0.00502420829005,0.0002
pallet_collective,vote,5310595599920000,0.00531059559992,0.0002
pallet_collective,close,5333655031050000,0.00533365503105,0.0002
pallet_collective,disapprove_proposal,5292357473230000,0.00529235747323,0.0002
cumulus_pallet_xcmp_queue,service_overweight,5128710000640000,0.00512871000064,0.0002
cumulus_pallet_xcmp_queue,suspend_xcm_execution,4969700000000000,0.0049697,0.0002
cumulus_pallet_xcmp_queue,resume_xcm_execution,4969700000000000,0.0049697,0.0002
cumulus_pallet_xcmp_queue,update_suspend_threshold,5010021820000000,0.00501002182,0.0002
cumulus_pallet_xcmp_queue,update_drop_threshold,5010021820000000,0.00501002182,0.0002
cumulus_pallet_xcmp_queue,update_resume_threshold,5010021820000000,0.00501002182,0.0002
cumulus_pallet_xcmp_queue,update_threshold_weight,5050022360000000,0.00505002236,0.0002
cumulus_pallet_xcmp_queue,update_weight_restrict_decay,5050022360000000,0.00505002236,0.0002
cumulus_pallet_xcmp_queue,update_xcmp_max_individual_weight,5050022360000000,0.00505002236,0.0002
orml_xtokens,transfer,5338700000000000,0.0053387,0.0002
orml_xtokens,transfer_multiasset,5148700000000000,0.0051487,0.0002
orml_xtokens,transfer_with_fee,5498700000000000,0.0054987,0.0002
orml_xtokens,transfer_multiasset_with_fee,5288700000000000,0.0052887,0.0002
orml_xtokens,transfer_multicurrencies,5718700000000000,0.0057187,0.0002
orml_xtokens,transfer_multiassets,5198700000000000,0.0051987,0.0002
manta_collator_selection,set_invulnerables,5299843407140000,0.00529984340714,0.0002
manta_collator_selection,set_desired_candidates,5009857930000000,0.00500985793,0.0002
